ID	DOCULECT	CONCEPT	TOKENS	IPA	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	COGID
39	Turkish	bark	k a b u k	kabuk, (aɣaʨ) kabuɣu	1 7 1 7 1	AXBYN	KAPYK	5	5.K.C 5.A.V 5.P.C 5.Y.V 5.K.c	2.0 1.5 1.75 1.3 0.8	0	18
40	Turkmen	bark	ɢ a b ɯ q	ɢabɯq	1 7 1 7 1	AXBYN	KAPIK	6	6.K.C 6.A.V 6.P.C 6.I.V 6.K.c	2.0 1.5 1.75 1.3 0.8	0	18
41	Uyghur	bark	q o v z a q	qovzaq	1 7 3 3 7 1	AXMBYN	KUBSAK	7	7.K.C 7.U.V 7.B.c 7.S.C 7.A.V 7.K.c	2.0 1.5 1.1 1.75 1.3 0.8	0	24
42	Yakut	bark	χ a t ɯ r ɯ k	χatɯrɯk	3 7 1 7 5 7 1	AXBYBYN	GATIRIK	9	9.G.C 9.A.V 9.T.C 9.I.V 9.R.C 9.I.V 9.K.c	2.0 1.5 1.75 1.3 1.75 1.3 0.8	0	26
339	Uzbek	bark	q ɒ b i q	qɒbiq	1 7 1 7 1	AXBYN	KOPIK	8	8.K.C 8.O.V 8.P.C 8.I.V 8.K.c	2.0 1.5 1.75 1.3 0.8	0	25
43	Kazakh	big	y l k e n	ylken	7 5 1 7 4	XMBYN	YLKEN	3	3.Y.V 3.L.c 3.K.C 3.E.V 3.N.c	1.5 1.1 1.75 1.3 0.8	0	29
44	Turkmen	big	u l ɯ	ulɯ	7 5 7	XBZ	YLI	6	6.Y.V 6.L.C 6.I.V	1.5 1.75 0.8	0	31
45	Yakut	big	u l a χ a n	ulaχan	7 5 7 3 7 4	XBYBYN	YLAGAN	9	9.Y.V 9.L.C 9.A.V 9.G.C 9.A.V 9.N.c	1.5 1.75 1.3 1.75 1.3 0.8	0	33
46	Azerbaijani	big	b ø j y k	bøjyk	1 7 6 7 1	AXBYN	PUJYK	1	1.P.C 1.U.V 1.J.C 1.Y.V 1.K.c	2.0 1.5 1.75 1.3 0.8	0	27
47	Turkish	big	b y j y k	byjyk	1 7 6 7 1	AXBYN	PYJYK	5	5.P.C 5.Y.V 5.J.C 5.Y.V 5.K.c	2.0 1.5 1.75 1.3 0.8	0	30
