ID	DOCULECT	CONCEPT	TOKENS	IPA
5062	Chuvash	side	ɛ n	ɛn
5063	Chuvash	side	a j a k	aˈjak
5064	Chuvash	side	a j ə k	ˈajək
5065	Chuvash	middle	ʋ a r ə	ˈʋarə
5066	Chuvash	item	j a p a l a	jap̬aˈla
5067	Chuvash	thing	j a p a l a	jap̬aˈla
5068	Chuvash	fringe	ʋ ɘ ɕ	ʋɘɕ
5069	Chuvash	fringe	χ ɘ r ɘ	ˈχɘrɘ
5070	Chuvash	fringe	χ ɘ r i	χɘˈri
5071	Chuvash	edge	χ a j k a tɕ a	χajk̬at͡ɕ̬a
5072	Chuvash	edge	χ ɯ s a k	χɯs̬ak
5073	Chuvash	corner	k ɘ t ɛ s	kɘˈt̬ɛs
5074	Chuvash	tip	ʋ ɘ ɕ	ʋɘɕ
5075	Chuvash	end	ʋ ɘ ɕ	ʋɘɕ
5076	Chuvash	hole	ʂ ə t ə k	ˈʂətək
5077	Chuvash	angle	k ɘ t ɛ s	kɘˈt̬ɛs
5078	Chuvash	pattern	e r ɛ ʂ	eˈrɛʂ
5079	Chuvash	size	p ɯ s ə k ə ʂ	ˈpɯsək̬əʂ
5080	Chuvash	length	ʋ ə r ə m ə ʂ	ˈʋərəməʂ
5081	Chuvash	height	ɕ y l ɘ ʂ	ˈɕylɘʂ
5082	Chuvash	weight	ʋ i ɕ ɛ	ʋiˈɕ̬ɛ
5083	Chuvash	weight	j ɯ ʋ ə r ə ʂ	ˈjɯʋərəʂ
5084	Chuvash	amount	j ɯ ʂ	jɯʂ
5085	Chuvash	heap	k u p a	kuˈp̬a
5086	Chuvash	row	r ɛ t	rɛt
5087	Chuvash	boat	k i m ɘ	ˈkimɘ
5088	Chuvash	oar	k ɘ s m ɛ n	kɘsˈmɛn
5089	Chuvash	sleigh	ɕ u n a	ɕuˈna
5090	Chuvash	ski	j ɘ l t ɘ r	jɘlt̬ɘr
5091	Chuvash	campfire	ʋ u t	ʋut
5092	Chuvash	campfire	k ə ʋ a j t	kəʋajt̬
5093	Chuvash	load	s u l m a k l ə χ	sulˈmakləχ
5094	Chuvash	load	j ɯ ʋ ə r + j a p a l a	ˈjɯʋər_jap̬aˈla
5095	Chuvash	walk	k u ɕ ə m	ˈkuɕəm
5096	Chuvash	step	u t ə m	ˈutəm
5097	Chuvash	step	p u s ə m	ˈpusəm
5098	Chuvash	north	ɕ u r ɕ ɘ r	ˈɕurɕ̬ɘr
5099	Chuvash	south	k ə n t ə r	ˈkənt̬ər
5100	Chuvash	west	a n ə ɕ	ˈanəɕ
5101	Chuvash	west	χ ɘ ʋ ɛ l + a n ə ɕ	χɘˈʋɛl_ˈanəɕ
5102	Chuvash	east	χ ɘ ʋ ɛ l + t u χ ə ɕ	χɘˈʋɛl_ˈtuχəɕ
5103	Chuvash	wood	j ɯ ʋ ə ɕ	ˈjɯʋəɕ
5104	Chuvash	board	χ ə m a	χəˈma
5105	Chuvash	slab	p l i t a	pliˈt̬a
5106	Chuvash	support, rest	u r a	uˈra
5107	Chuvash	pole	ʂ ɛ r t ɛ	ʂɛrˈt̬ɛ
5108	Chuvash	stick	p a t a k	paˈt̬ak
5109	Chuvash	staff	ʂ ə tɕ ə	ˈʂət͡ɕə
5110	Chuvash	pipe	p ə r ə χ	ˈpərəχ
5111	Chuvash	house	ɕ u r t	ɕurt̬
5112	Chuvash	home	k i l	kil
5113	Chuvash	stove	k ə m a k a	kəmaˈk̬a
5114	Chuvash	floor	u r a j	uˈraj
5115	Chuvash	table	s ɘ t ɛ l	sɘˈt̬ɛl
5116	Chuvash	chair	p u k a n	puˈk̬an
5117	Chuvash	cradle	s ə p k a	səpˈka
5118	Chuvash	bed	k r a ʋ a tʲ	kraˈʋatʲ
5119	Chuvash	shelf	ɕ y l ɘ k	ˈɕylɘk
5120	Chuvash	shelf	s ɛ n t r ɛ	sɛnt̬ˈrɛ
5121	Chuvash	box	ɛ ɕː ɘ k	ˈɛɕːɘk
5122	Chuvash	box	s u n t ə χ	ˈsunt̬əχ
5123	Chuvash	window	tɕ y r ɛ tɕ ɛ	t͡ɕyrɛˈt͡ɕ̬ɛ
5124	Chuvash	door	a l ə k	ˈalək
5125	Chuvash	gate	χ a p χ a	χapˈχa
5126	Chuvash	fence	χ y m ɛ	χyˈmɛ
5127	Chuvash	roof	t ə r ə	ˈtərə
5128	Chuvash	ladder	p u s m a	pusˈma
5129	Chuvash	broom	ʂ ə p ə r	ˈʂəpər
5130	Chuvash	spade	k ɘ r ɛ ɕ ɛ	kɘrɛˈɕ̬ɛ
5131	Chuvash	shovel	k ɘ r ɛ ɕ ɛ	kɘrɛˈɕ̬ɛ
5132	Chuvash	fork	ʋ i l k a	ˈʋilk̬a
5133	Chuvash	spoon	k a ʂ ə k	ˈkaʂək
5134	Chuvash	knife	ɕ ɘ ɕ ɘ	ˈɕɘɕɘ
5135	Chuvash	nail	p ə t a	pəˈt̬a
5136	Chuvash	net	t ɛ t ɛ l	tɛˈt̬ɛl
5137	Chuvash	hook	j ə r χ a χ	jərχaχ
5138	Chuvash	hook	ɕ ɛ k ɘ l	ɕɛk̬ɘl
5139	Chuvash	handle	χ ə l ə p	ˈχələp
5140	Chuvash	lock	ɕ ə r a	ɕəˈra
5141	Chuvash	picture	s ə n	sən
5142	Chuvash	picture	s ə n l ə χ	ˈsənləχ
5143	Chuvash	picture	k a r t i n a	karˈt̬ina
5144	Chuvash	figure	k ɘ l ɛ t k ɛ	kɘlɛtˈkɛ
5145	Chuvash	doll	p u k a n ɛ	puk̬aˈnɛ
5146	Chuvash	pouch	m i χ ɘ	ˈmiχɘ
5147	Chuvash	bundle	ɕ ɯ χ ə	ˈɕɯχə
5148	Chuvash	bundle	t ɘ r k ɛ	tɘrˈk̬ɛ
5149	Chuvash	bag	s u m k a	ˈsumk̬a
5150	Chuvash	bucket	ʋ i t r ɛ	ʋitˈrɛ
5151	Chuvash	cover, lid	χ u p ə	ˈχupə
5152	Chuvash	dishes	s a ʋ ə t s a p a	ˈsaʋət-saˈp̬a
5153	Chuvash	sack	m i χ ɘ	ˈmiχɘ
5154	Chuvash	cup	k u r k a	kurˈk̬a
5155	Chuvash	pot	k a s t r j u lʲ	kastrˈjulʲ
5156	Chuvash	kettle	χ u r a n	χuˈran
5157	Chuvash	meal	a p a t	aˈp̬at
5158	Chuvash	food	a p a t ɕ i m ɘ s	aˈp̬at-ˈɕimɘs
5159	Chuvash	dish	a p a t	aˈp̬at
5160	Chuvash	dish	ɕ i m ɘ ɕ	ˈɕimɘɕ
5161	Chuvash	meat	a ʂ	aʂ
5162	Chuvash	meat	k a k a j	kaˈk̬aj
5163	Chuvash	corn	t ɯ r ə	ˈtɯrə
5164	Chuvash	mush	p ə t ə	ˈpətə
5165	Chuvash	bread	ɕ ə k ə r	ˈɕəkər
5166	Chuvash	slice	tɕ ɘ l ɘ	ˈt͡ɕɘlɘ
5167	Chuvash	slice	k a s ə k	ˈkasək
5168	Chuvash	fat	ɕ u	ɕu
5169	Chuvash	butter	ɕ u	ɕu
5170	Chuvash	oil	ɕ u	ɕu
5171	Chuvash	salt	t ə ʋ a r	təˈʋar
5172	Chuvash	soup	j a ʂ k a	jaʂˈka
5173	Chuvash	honey	p ɯ l	pɯl
5174	Chuvash	milk	s ɘ t	sɘt
5175	Chuvash	tea	tɕ ɛ j	t͡ɕɛj
5176	Chuvash	leather	s ə r a n	səˈran
5177	Chuvash	wool	ɕ ə m	ɕəm
5178	Chuvash	cloth	t ɘ r t ɘ m	ˈtɘrt̬ɘm
5179	Chuvash	needle	j ɘ p	jɘp
5180	Chuvash	thread	ɕ i p	ɕip
5181	Chuvash	button	t y m ɛ	tyˈmɛ
5182	Chuvash	knot	j ə l ə	j́ələ
5183	Chuvash	paint	s ə r ə	ˈsərə
5184	Chuvash	clothes	t u m	tum
5185	Chuvash	clothes	ɕ i p u ɕ	ɕip̬uɕ
5186	Chuvash	clothes	t u m t i r	tum-tir
5187	Chuvash	shirt	k ɘ p ɛ	kɘˈp̬ɛ
5188	Chuvash	collar	ɕ u χ a	ɕuˈχa
5189	Chuvash	sleeve	ɕ a n ə	ˈɕanə
5190	Chuvash	trousers	ʂ ə l a ʋ a r	ʂəlaˈʋar
5191	Chuvash	belt	p i ɕ i χ i	piɕ̬iˈχi
5192	Chuvash	cap	ɕ ɘ l ɘ k	ˈɕɘlɘk
5193	Chuvash	shoe	p u ʂ m a k	puʂmak
5194	Chuvash	shoe	b o t i n o k	bot̬inok
5195	Chuvash	boot	a t ə	at̬ə
5196	Chuvash	ring	ɕ ɘ r ɘ	ˈɕɘrɘ
5197	Chuvash	ribbon	χ a j u	χaˈju
5198	Chuvash	ribbon	j ɘ s m ɛ	jɘsˈmɛ
5199	Chuvash	comb	t u r a	tuˈra
5200	Chuvash	mirror	t ɘ k ɘ r	ˈtɘkɘr
5201	Chuvash	mirror	k u ɕ + k ɘ s k i	kuɕ_kɘsˈki
5202	Chuvash	strap	tɕ ɘ n	t͡ɕɘn
5203	Chuvash	string	k a n t r a	kant̬ˈra
5204	Chuvash	leash	k a s m ə k	kasmək
5205	Chuvash	blanket	u t i j a l	ut̬iˈjal
5206	Chuvash	pillow	ɕ ɯ t a r	ɕɯˈt̬ar
5207	Chuvash	pillow	m i n t ɛ r	minˈt̬ɛr
5208	Chuvash	scarf	t u t ə r	ˈtutər
5209	Chuvash	towel	a l + ʂ ə l i	al_ʂəˈli
5210	Chuvash	force	ʋ ə j	ʋəj
5211	Chuvash	force	χ ə ʋ a t	χəˈʋat
5212	Chuvash	strength	χ a l	χal
5213	Chuvash	strength	χ ə ʋ a t	χəˈʋat
5214	Chuvash	health	χ a l	χal
5215	Chuvash	health	s ɯ ʋ l ə χ	ˈsɯʋləχ
5216	Chuvash	illness	tɕ i r	t͡ɕir
5217	Chuvash	pain	ɯ r a t u	ɯraˈt̬u
5218	Chuvash	wound	s u r a n	suˈran
5219	Chuvash	fever	s i ʋ + tɕ i r	siʋ_t͡ɕir
5220	Chuvash	medicine	e m ɛ l	eˈmɛl
5221	Chuvash	bridge	k ɘ p ɛ r	kɘˈp̬ɛr
5222	Chuvash	well	ɕ ə l	ɕəl
5223	Chuvash	well	p u s ə	ˈpusə
5224	Chuvash	pasture	ɕ a r a n	ɕaˈran
5225	Chuvash	path	j ɘ r	jɘr
5226	Chuvash	path	s u k m a k	sukmak
5227	Chuvash	way	ɕ u l	ɕul
5228	Chuvash	way	ɕ u l j ɘ r	ɕul-jɘr
5229	Chuvash	road	ɕ y r ɛ ʋ	ɕyˈrɛʋ
5230	Chuvash	road	ɕ u l + ɕ y r ɛ n i	ɕul_ɕyrɛˈni
5231	Chuvash	village	j a l	jal
5232	Chuvash	town	χ u l a	χuˈla
5233	Chuvash	letter	ɕ ɯ r u	ɕɯˈru
5234	Chuvash	book	k ɘ n ɛ k ɛ	kɘnɛˈk̬ɛ
5235	Chuvash	character	s a s + p a l i	sas_paˈli
5236	Chuvash	newspaper	χ a ɕ a t	χaˈɕ̬at
5237	Chuvash	life	p u r n ə ɕ	ˈpurnəɕ
5238	Chuvash	death	ʋ i l ɘ m	ˈʋilɘm
5239	Chuvash	grave	m a s a r + ʂ ə t ə k ɘ	maˈs̬ar_ˈʂətək̬ɘ
5240	Chuvash	church	tɕ i r k y	t͡ɕirˈk̬y
5241	Chuvash	sin	ɕ ɯ l ə χ	ˈɕɯləχ
5242	Chuvash	god	t u r ə	ˈturə
5243	Chuvash	worker	r a b o tɕ i	raˈbot͡ɕi
5244	Chuvash	boss	p u ɕ l ə χ	ˈpuɕləχ
5245	Chuvash	master	ə s t a	əsˈta
5246	Chuvash	master	m a s t ɛ r	ˈmastɛr
5247	Chuvash	doctor	ʋ r a tɕ	ʋrat͡ɕ
5248	Chuvash	doctor	t u χ t ə r	ˈtuχtər
5249	Chuvash	teacher	u tɕ i t ɛ lʲ	uˈt͡ɕ̬itɛlʲ
5250	Chuvash	teacher	ʋ ɘ r ɛ n t ɛ k ɛ n	ʋɘrɛnt̬ɛˈk̬ɛn
5251	Chuvash	money	u k ɕ a	ukˈɕa
5252	Chuvash	business	b i z n ɛ s	biznɛs
5253	Chuvash	shop	m a g a z i n	maɡaˈzin
5254	Chuvash	price	χ a k	χak
5255	Chuvash	ware	t a ʋ a r	taˈʋar
5256	Chuvash	benefit	p a j t a	pajˈt̬a
5257	Chuvash	wealth	m u l	mul
5258	Chuvash	world	t ɘ n tɕ ɛ	tɘnt̬͡ˈɕɛ
5259	Chuvash	country	ɕ ɘ r ʂ ɯ ʋ	ɕɘr-ʂɯʋ
5260	Chuvash	state	p a t ʂ à l ə χ	patʂàləχ
5261	Chuvash	king	k o r o lʲ	koˈrolʲ
5262	Chuvash	power	ʋ l a s tʲ	ʋlastʲ
5263	Chuvash	border	tɕ i k ɘ	ˈt͡ɕikɘ
5264	Chuvash	war	ʋ ə r ɕ ə	ˈʋərɕ̬ə
5265	Chuvash	enemy	t ə ʂ m a n	təʂˈman
5266	Chuvash	violence	i r ɘ k s ɘ r l y	irɘksɘrly
5267	Chuvash	fight	k ɘ r ɛ ʂ y	kɘrɛˈʂ̬y
5268	Chuvash	bow	u χ ə	ˈuχə
5269	Chuvash	arrow	ɕ ɘ m r ɛ n	ɕɘmˈrɛn
5270	Chuvash	arrow	u χ ə + j ɘ p i	ˈuχə_jɘˈpi
5271	Chuvash	gun	p ə ʂ a l	pəˈʂ̬al
5272	Chuvash	mistake	j ə n ə ʂ	ˈjənəʂ
5273	Chuvash	lie	s u j a	suˈja
5274	Chuvash	lie	u l t a ʋ	ulˈt̬aʋ
5275	Chuvash	damage	s i ɛ n	siˈɛn
5276	Chuvash	misfortune	ʂ a r	ʂar
5277	Chuvash	misfortune	i n k ɛ k	inˈk̬ɛk
5278	Chuvash	fault	a j ə p	ˈajəp
5279	Chuvash	age	ɕ u l + ʂ u tɕ ɘ	ɕul_ˈʂut͡ɕɘ
5280	Chuvash	end	p ɘ t n i	pɘtˈni
5281	Chuvash	end	p ɘ t m ɘ ʂ	ˈpɘtmɘʂ
5282	Chuvash	time	ʋ ə χ ə t	ˈʋəχət
5283	Chuvash	day	k u n	kun
5284	Chuvash	morning	i r	ir
5285	Chuvash	noon	k ə n t ə r l a	kənt̬ərˈla
5286	Chuvash	evening	k a ɕ	kaɕ
5287	Chuvash	night	k a ɕ	kaɕ
5288	Chuvash	week	e r n ɛ	erˈnɛ
5289	Chuvash	month	u j ə χ	ˈujəχ
5290	Chuvash	year	ɕ u l t a l ə k	ɕulˈt̬alək
5291	Chuvash	spring	ɕ u r	ɕur
5292	Chuvash	spring	ɕ u r k u n ɛ	ɕurk̬uˈnɛ
5293	Chuvash	summer	ɕ u	ɕu
5294	Chuvash	summer	ɕ u l a	ɕuˈla
5295	Chuvash	autumn	k ɘ r	kɘr
5296	Chuvash	autumn	k ɘ r k u n ɛ	kɘrk̬uˈnɛ
5297	Chuvash	winter	χ ɘ l	χɘl
5298	Chuvash	winter	χ ɘ l ɛ	χɘˈlɛ
5299	Chuvash	little	p ɘ tɕ ɘ k	ˈpɘt͡ɕɘk
5300	Chuvash	short	k ɘ s k ɛ	kɘsˈkɛ
5301	Chuvash	wide	s a r l a k a	sarlaˈk̬a
5302	Chuvash	narrow	a n s ə r	ˈans̬ər
5303	Chuvash	dense	j ə ʋ ə	ˈjəʋə
5304	Chuvash	thick	χ u l ə n	ˈχulən
5305	Chuvash	thin	ɕ i n ɕ ɛ	ɕinˈɕ̬ɛ
5306	Chuvash	thin	ɕ y χ ɛ	ɕyˈχɛ
5307	Chuvash	delicate, fine	t a r a j	taraj
5308	Chuvash	delicate, fine	ʋ ɘ l t ɘ r t i	ʋɘlt̬ɘrt̬i
5309	Chuvash	firm, solid	t ɘ r ɛ k l ɘ	tɘˈrɛklɘ
5310	Chuvash	flat	l a p t a k	laptak
5311	Chuvash	smooth	t a k ə r	ˈtakər
5312	Chuvash	hard	χ ɯ t ə	ˈχɯtə
5313	Chuvash	soft	ɕ ɛ m ɕ ɛ	ɕɛmˈɕ̬ɛ
5314	Chuvash	round	ɕ a ʋ r a	ɕaʋˈra
5315	Chuvash	pointed	ʂ ɘ ʋ ɘ r	ˈʂɘʋɘr
5316	Chuvash	sharp	ɕ i ʋ ɘ tɕ	ˈɕiʋɘt͡ɕ
5317	Chuvash	blunt	m ə k a	məˈk̬a
5318	Chuvash	blunt	p u k l a k	pukˈlak
5319	Chuvash	blunt	t ɘ r ɘ n tɕ ɘ k	ˈtɘrɘnt̬͡ɕɘk
5320	Chuvash	blunt	ə n k a r u s ə r	ənk̬aˈrusər
5321	Chuvash	heavy	j ɯ ʋ ə r	ˈjɯʋər
5322	Chuvash	beautiful	i l ɛ m l ɘ	iˈlɛmlɘ
5323	Chuvash	hot	ʋ ɘ r i	ʋɘˈri
5324	Chuvash	warm	ə ʂ ə	ˈəʂə
5325	Chuvash	cold	s i ʋ ɘ	ˈsiʋɘ
5326	Chuvash	cool	u ɕ ə	ˈuɕə
5327	Chuvash	fresh	u ɕ ə	ˈuɕə
5328	Chuvash	damp	j ɘ p ɛ	jɘˈp̬ɛ
5329	Chuvash	wet	n y r ɘ	ˈnyrɘ
5330	Chuvash	dry	t i p ɘ	ˈtipɘ
5331	Chuvash	full	t u l i	tuli
5332	Chuvash	empty	p u ʂ ə	ˈpuʂə
5333	Chuvash	open	u ɕ ə	ˈuɕə
5334	Chuvash	closed	χ u p ə	ˈχupə
5335	Chuvash	clean	t a s a	taˈs̬a
5336	Chuvash	dirty	p ɯ l tɕ ə k l ə	ˈpɯlt̬͡ɕəklə
5337	Chuvash	dirty	ʋ a r a l a n tɕ ə k	ʋaraˈlant̬͡ɕək
5338	Chuvash	raw	tɕ ɘ r ɘ	t͡ɕɘrɘ
5339	Chuvash	ripe	p u l n ə	ˈpulnə
5340	Chuvash	ripe	p i ɕ ɘ χ n ɘ	ˈpiɕɘχnɘ
5341	Chuvash	ripe	a t a l a n ə	at̬aˈlanə
5342	Chuvash	ripe	p i ɕ s ɛ + ɕ i t n ɘ	piɕˈsɛ_ˈɕitnɘ
5343	Chuvash	delicious	t u t l ə	ˈtutlə
5344	Chuvash	delicious	t ɛ χ ɘ m l ɘ	ˈtɛχɘmlɘ
5345	Chuvash	sweet	p ɯ l a k	pɯˈlak
5346	Chuvash	bitter	j y ɕ ɘ	ˈjyɕɘ
5347	Chuvash	sour	j y ɕ ɘ	ˈjyɕɘ
5348	Chuvash	sour	j y ɕ ɛ k	jyˈɕ̬ɛk
5349	Chuvash	sour	k ə ʋ a s a k	kəʋaˈs̬ak
5350	Chuvash	bright	ɕ u t ə	ˈɕutə
5351	Chuvash	dark	t ɘ t ɘ m	ˈtɘtɘm
5352	Chuvash	black	χ u r a	χuˈra
5353	Chuvash	white	ʂ u r ə	ˈʂurə
5354	Chuvash	red	χ ɘ r l ɘ	ˈχɘrlɘ
5355	Chuvash	yellow	s a r ə	ˈsarə
5356	Chuvash	blue	k ə ʋ a k	kəˈʋak
5357	Chuvash	green	s i m ɘ s	ˈsimɘs
5358	Chuvash	green	p i ɕ m ɛ n	piɕˈmɛn
5359	Chuvash	green	ə s + p u χ m a n	əs_puχˈman
5360	Chuvash	grey	k ə ʋ a k	kəˈʋak
5361	Chuvash	colourful	tɕ ə p a r	t͡ɕəp̬ar
5362	Chuvash	cheap	j y n ɘ	ˈjynɘ
5363	Chuvash	expensive	χ a k l ə	ˈχaklə
5364	Chuvash	precious	p a χ a	paˈχa
5365	Chuvash	blind	s u k ə r	ˈsukər
5366	Chuvash	deaf	χ ə l χ a s ə r	χəlˈχasər
5367	Chuvash	powerful	χ ə ʋ a t l ə	χəˈʋatlə
5368	Chuvash	strong	ʋ i r l ɘ	ˈʋirlɘ
5369	Chuvash	weak	χ a l s ə r	ˈχals̬ər
5370	Chuvash	fat	s a m ə r	ˈsamər
5371	Chuvash	fat	m ə n t ə r	ˈmənt̬ər
5372	Chuvash	slim	j ə r ə s	ˈjərəs
5373	Chuvash	slim	j a ʂ t a k a	jaʂtaˈk̬a
5374	Chuvash	pretty	χ i t r ɛ	χitˈrɛ
5375	Chuvash	evil	u s a l	uˈs̬al
5376	Chuvash	stupid	u χ m a χ	uχˈmaχ
5377	Chuvash	lazy	n a j a n	naˈjan
5378	Chuvash	lazy	j u l χ a ʋ	julˈχaʋ
5379	Chuvash	lazy	y r k ɛ n tɕ ɘ k	yrˈk̬ɛnt̬͡ɕɘk
5380	Chuvash	diligent	χ a s t a r	χasˈtar
5381	Chuvash	stingy	χ ɯ t ə	ˈχɯtə
5382	Chuvash	clever	ə s l ə	ˈəslə
5383	Chuvash	skilful	ə s t a	əsˈta
5384	Chuvash	dear	s a ʋ n ə	ˈsaʋnə
5385	Chuvash	merry	χ a ʋ a s l ə	χaˈʋaslə
5386	Chuvash	gentle	a tɕ a ʂ	aˈt͡ɕ̬aʂ
5387	Chuvash	hungry	ʋ ɯ ɕ ə	ˈʋɯɕə
5388	Chuvash	sick, ill	tɕ i r l ɘ	ˈt͡ɕirlɘ
5389	Chuvash	naked	ɕ a r a	ɕaˈra
5390	Chuvash	sad	s a l χ u l ə	salˈχulə
5391	Chuvash	living	tɕ ɘ r ɘ	ˈt͡ɕɘrɘ
5392	Chuvash	good	a ʋ a n	aˈʋan
5393	Chuvash	good	l a j ə χ	ˈlajəχ
5394	Chuvash	bad	j a p ə χ	ˈjapəχ
5395	Chuvash	bad	n a tɕ a r	naˈt͡ɕ̬ar
5396	Chuvash	correct	t ɘ r ɘ s	ˈtɘrɘs
5397	Chuvash	nasty, dire	j ɘ r ɘ n tɕ ɘ k	jɘrɘnt̬͡ɕɘk
5398	Chuvash	true	tɕ ə n	t͡ɕən
5399	Chuvash	old	k i ʋ ɘ	ˈkiʋɘ
5400	Chuvash	new	ɕ ɘ n ɘ	ˈɕɘnɘ
5401	Chuvash	former	p u l n ə	pulnə
5402	Chuvash	aged, old	ʋ a t ə	ˈʋatə
5403	Chuvash	young	j a ʂ	jaʂ
5404	Chuvash	young	ɕ a m r ə k	ˈɕamrək
5405	Chuvash	poor	tɕ u χ ə n	ˈt͡ɕuχən
5406	Chuvash	rich	p u j a n	puˈjan
5407	Chuvash	familiar	p ɘ l ɘ ʂ	ˈpɘlɘʂ
5408	Chuvash	famous	tɕ a p l ə	ˈt͡ɕaplə
5409	Chuvash	foreign	j u t	jut
5410	Chuvash	different	r a s n a	rasˈna
5411	Chuvash	near	ɕ ɯ ʋ ə χ	ˈɕɯʋəχ
5412	Chuvash	near	ɕ ɯ ʋ ə χ r i	ɕɯʋəχˈri
5413	Chuvash	far	i n ɕ ɛ	inˈɕ̬ɛ
5414	Chuvash	far	a j a k r i	ajakˈri
5415	Chuvash	left	s u l a χ a j	sulaˈχaj
5416	Chuvash	right	s ɯ l t ə m	ˈsɯlt̬əm
5417	Chuvash	other	u r ə χ	ˈurəχ
5418	Chuvash	first	p ɘ r ɛ m ɘ ʂ	pɘˈrɛmɘʂ
5419	Chuvash	second	i k ɘ m ɘ ʂ	ˈikɘmɘʂ
5420	Chuvash	third	ʋ i ɕ ɘ m ɘ ʂ	ˈʋiɕɘmɘʂ
5421	Chuvash	last	j u l a ʂ k i	julaʂˈki
5422	Chuvash	alone	p ɘ tɕ ɛ n	pɘt͡ɕɛn
5423	Chuvash	at once	k ɘ m ɘ r k ɛ n	kɘmɘrkɛn
5424	Chuvash	together	p ɘ r l ɛ	pɘrˈlɛ
5425	Chuvash	suddenly	s a s a r t ə k	saˈs̬art̬ək
5426	Chuvash	instantly	t y r ɛ χ	tyˈrɛχ
5427	Chuvash	later	k a j r a n	kajˈran
5428	Chuvash	now	χ a lʲ	χalʲ
5429	Chuvash	now	χ a l ɘ	ˈχalɘ
5430	Chuvash	today	p a j a n	paˈjan
5431	Chuvash	tomorrow	ɯ r a n	ɯˈran
5432	Chuvash	soon	χ a l ɛ χ	χalɛχ
5433	Chuvash	soon	k ɘ ɕ ɛ χ	kɘɕ̬ɛχ
5434	Chuvash	then	u n t a n	unˈt̬an
5435	Chuvash	yesterday	ɘ n ɛ r	ɘˈnɛr
5436	Chuvash	once	p ɘ r ɛ χ i n tɕ ɛ	pɘrɛχint̬͡ˈɕɛ
5437	Chuvash	at that time	u n + tɕ u χ n ɛ	un_t͡ɕuχˈnɛ
5438	Chuvash	at that time	a p l a + p u l s a n	apˈla_pulˈs̬an
5439	Chuvash	afterwards	u n t a n	unˈt̬an
5440	Chuvash	before	m a l t a n	malˈt̬an
5441	Chuvash	at first	p i r ʋ a j	pirˈʋaj
5442	Chuvash	once	p ɘ r ɛ χ i n tɕ ɛ	pɘrɛχint̬͡ˈɕɛ
5443	Chuvash	sometimes	χ ə ʂ + tɕ u χ n ɛ	χəʂ_t͡ɕuχˈnɛ
5444	Chuvash	often	t ə t ə ʂ	ˈtətəʂ
5445	Chuvash	always	j a l a n	jaˈlan
5446	Chuvash	never	n i χ ə ɕ a n + t a	niχəˈɕ̬an_ta
5447	Chuvash	here	k u n t a	kunˈt̬a
5448	Chuvash	hither	k u n t a	kunˈt̬a
5449	Chuvash	hence	k u n t a n	kunˈt̬an
5450	Chuvash	there	u n t a	unˈt̬a
5451	Chuvash	there	ɕ a ʋ ə n t a	ɕaʋənˈt̬a
5452	Chuvash	thither	u n t a	unˈt̬a
5453	Chuvash	thither	ɕ a ʋ ə n t a	ɕaʋənˈt̬a
5454	Chuvash	ahead	t i k ɘ s	ˈtikɘs
5455	Chuvash	forward	m a l a l a	malaˈla
5456	Chuvash	backward	χ ɯ ɕ a l a	χɯɕ̬aˈla
5457	Chuvash	back	k a j a l a	kajaˈla
5458	Chuvash	below	a j a l t a	ajalˈt̬a
5459	Chuvash	down	a j a l t a	ajalˈt̬a
5460	Chuvash	above	ɕ y l t ɛ	ɕylˈt̬ɛ
5461	Chuvash	up	ɕ y l ɛ	ɕyˈlɛ
5462	Chuvash	everywhere	t a ɕ t a + t a	taɕˈta_ta
5463	Chuvash	everywhere	p u r + ɕ ɘ r t ɛ + t ɛ	pur_ɕɘrˈt̬ɛ_tɛ
5464	Chuvash	everywhere	k i r ɛ k + ə ɕ t a + t a	kiˈrɛk_əɕˈta_ta
5465	Chuvash	a little	p ə r t a k	pərˈt̬ak
5466	Chuvash	hardly	a r a n	aˈran
5467	Chuvash	very	p i t ɘ	ˈpitɘ
5468	Chuvash	so	a p l a	apˈla
5469	Chuvash	still	t a t a χ	taˈt̬aχ
5470	Chuvash	only	ɕ ɛ χ	ɕɛχ
5471	Chuvash	already	ɘ n t ɘ	ˈɘnt̬ɘ
5472	Chuvash	again	k a l ɛ χ	kaˈlɛχ
5473	Chuvash	in vain	χ a r a m	χaˈram
5474	Chuvash	in front of	u m ɘ n tɕ ɛ	umɘnt̬͡ˈɕɛ
5475	Chuvash	behind	k a j r a	kajˈra
5476	Chuvash	under	a j n ɛ	ajˈnɛ
5477	Chuvash	under	a j ɘ p ɛ	ajɘˈp̬ɛ
5478	Chuvash	under	a j ɘ n tɕ ɛ	ajɘnt̬͡ˈɕɛ
5479	Chuvash	under	ɕ i t ɛ s p ɛ	ɕit̬ɛsˈpɛ
5480	Chuvash	through	ʋ i t ɘ r	ʋit̬ɘr
5481	Chuvash	next to	p a t ɘ n tɕ ɛ	pat̬ɘnt̬͡ˈɕɛ
5482	Chuvash	between	χ u ʂ i n tɕ ɛ	χuʂint̬͡ˈɕɛ
5483	Chuvash	because of	p u l a	puˈla
5484	Chuvash	because of	p i r k i	pirˈk̬i
5485	Chuvash	everything	p u r t ɛ	purt̬ɛ
5486	Chuvash	everything	j ə l t	jəlt̬
5487	Chuvash	thou	e s	es
5488	Chuvash	he	ʋ ə l	ʋəl
5489	Chuvash	you	e s i r	eˈsir
